time[sec],pulse_O,pulse_1
0,16648,2000
0.05136108,17792,2000
0.1032791,17650,2000
0.1549454,19686,8356
0.2057877,20256,7892
0.2587204,20428,7572
0.3095322,20526,5058
0.3618851,20308,4396
0.4145432,20436,4294
0.4653778,20686,6000
0.5169754,20896,6000
0.5699997,20684,6000
0.620697,20390,3944
0.6714172,20454,5866
0.7237625,20626,6002
0.7738953,20656,6000
0.82547,20578,4006
0.8781281,28188,2736
0.9287491,23004,2760
0.9804916,22832,2756
1.030602,28154,2918
1.084152,20274,6704
1.136116,20620,6772
1.188225,20814,8160
1.239166,26740,8142
1.291107,25054,7656
1.343712,29184,8346
1.393883,28526,8372
1.444931,28934,8102
1.494942,29246,8326
1.544975,28762,8230
1.595131,29014,7962
1.647911,29424,4000
1.698601,10820,4000
1.749054,11896,2824
1.799644,7784,0
1.849678,11200,0
1.905373,18840,0
1.955826,18250,0
2.008926,19298,0
2.066353,19414,0
2.118629,18952,0
2.169281,19368,0
2.220154,20000,0
2.272751,19262,0
2.323753,20000,0
2.376137,19062,0
2.428459,19812,0
2.479645,18996,0
2.530006,18994,0
2.580627,18802,0
2.634178,18776,0
2.684875,18810,0
2.737511,18780,0
2.788269,18774,0
2.8395,18744,0
2.889809,18586,0
2.939926,15310,0
2.99028,2000,0
3.042641,2,0
Retry,Retry,Retry
