time[sec],pulse_O,pulse_1
0,6680,2000
0.0501709,7338,4000
0.1029053,8000,4000
0.15625,8000,4378
0.2084351,8000,6892
0.2591553,8000,7696
0.3143921,8000,7886
0.3678589,8000,8000
0.4179688,6698,7434
0.4680786,6712,10648
0.5203857,7116,13142
0.5726929,5074,9776
0.6240845,6972,8014
0.678894,6300,10744
0.730835,4934,11008
0.7838745,6000,10878
0.8346558,7196,10484
0.8864746,7426,10856
0.9393311,6192,10824
0.9915771,7298,10312
1.043274,8842,11488
1.095459,8488,11922
1.147156,8866,12196
1.198181,8906,13610
1.24939,9546,13506
1.300598,9950,13474
1.353088,9984,13402
1.404297,10312,13258
1.456055,10418,13310
1.508423,10580,13518
1.559204,10616,13514
1.612366,10910,13488
1.664124,11078,13272
1.720459,10960,13156
1.771362,10862,13100
1.824097,10908,13134
1.876709,10354,13124
1.927917,10958,13168
1.97821,10996,13082
2.03186,10664,13116
2.082947,10658,13124
2.133789,10764,13134
2.186584,10834,13150
2.240051,10850,13136
2.291077,10860,13064
2.342407,10842,13054
2.39502,10826,1285
